	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SLC1A5	10131.2412469784	1.10493560578706	0.115381147103238	9.57639643501211	1.00490001186202e-21	9.80824282411155e-20
SNORA79B	364.914480286196	3.00107329620741	0.314372496345668	9.54623362759951	1.34497214822436e-21	1.29921536380023e-19
HSPA8	5839.49758010813	1.16061445688493	0.12209075484767	9.50616169367619	1.97827449118501e-21	1.89147265126567e-19
RNA5S9	882.797589735427	2.25706458288304	0.237503260457101	9.50329935908702	2.03343308117914e-21	1.92457252228774e-19
SNORA12	402.498223141583	2.68863428852573	0.283441307158173	9.48568264619719	2.40801720973969e-21	2.25631212552609e-19
SNORA53	371.651913505804	2.79606940909462	0.298650227073962	9.36235487409209	7.79789833445936e-21	7.16336346998865e-19
FASN	2748.18130328116	1.31513390587921	0.142361586309148	9.23798294171373	2.51187544610638e-20	2.26310316634777e-18
SNORA30	213.518843610774	3.79821022872019	0.415637906193021	9.13826716025345	6.34609984112029e-20	5.66313862012353e-18
BSG	3877.70524323801	1.18980723230393	0.130580905041889	9.11164792373168	8.11399884383687e-20	7.17246878931617e-18
ITGB4	808.50282129204	1.82904458630358	0.205710358168597	8.89135871711684	6.03661530294686e-19	5.28626966248711e-17
RNA5SP48	920.725885792404	1.75011917653815	0.19739061882568	8.8662733160775	7.56346888800189e-19	6.56200958153497e-17
ENO1	3759.80882139381	1.16111510462558	0.13135795043671	8.8393211127713	9.63019673226989e-19	8.27843517260265e-17
PRF1	2882.01621544698	1.22228672548597	0.138717543217111	8.81133486896413	1.23664346597338e-18	1.05339538874278e-16
SNORD19C	333.457145350681	3.07686575546757	0.349708411475483	8.79837503045957	1.38811469339842e-18	1.17176888983272e-16
IGF2R	3291.76013321489	1.19502534940585	0.135839171068195	8.79735454809218	1.40079191281369e-18	1.17191251991646e-16
ATP5F1B	2028.70084235714	1.31305824041379	0.15115961169898	8.68656796385945	3.73553496141021e-18	3.09751881313395e-16
PSAP	2057.00337746268	1.30893125435085	0.151017002220166	8.66744297070979	4.41932870568577e-18	3.63237806774348e-16
SNORD9	183.195476285953	3.88255488433199	0.449583210010546	8.63589831177396	5.82673262801835e-18	4.74752041082886e-16
CTSB	1279.86194881679	1.52242190065345	0.177296180008221	8.58688495478501	8.93590332300823e-18	7.09571306242264e-16
SNORA74D	3053.1904617941	3.75696269285557	0.439198925816616	8.55412541337648	1.18765729511336e-17	9.35155365984217e-16
ESYT1	1832.92230269793	1.32593112709484	0.155509367497203	8.52637463861256	1.51005659494902e-17	1.17910252455603e-15
EEF2	3735.62364539296	1.12184800085291	0.132237571158247	8.48357990113422	2.18369142489032e-17	1.6910073265473e-15
PRKCSH	1142.365082368	1.53546664830299	0.18120395982367	8.47369257160362	2.37734325049339e-17	1.82587756205927e-15
GANAB	3978.01793088677	1.09902207301554	0.129997931935734	8.45415043647658	2.81126675560913e-17	2.14159101626484e-15
SNORA20	201.487708936833	3.76384972659103	0.447745330268369	8.40622888090213	4.23404483397383e-17	3.19943549147861e-15
PLOD3	1562.48522824717	1.37004257996197	0.16383379215467	8.36239314212147	6.145864346006e-17	4.6069399137661e-15
FLNB	5281.31597985288	1.02700827947567	0.123482031519735	8.3170665953251	9.01670948763498e-17	6.7052831665984e-15
DYNC1H1	6331.81367102	1.00069687056937	0.120625409557311	8.2959044387238	1.07762137942251e-16	7.95063962613304e-15
SNORD111B	213.157488969283	3.70609599352286	0.447897516802124	8.2744285344189	1.2907315834018e-16	9.44855854412096e-15
SNORA14B	573.730228250159	4.6551466818926	0.563030454213925	8.26801933545829	1.36202807500829e-16	9.89318066885867e-15
GRN	832.448212497064	1.67490958920103	0.202644896200039	8.26524437875629	1.39408860742671e-16	1.0048161731991e-14
RNU5D-1	2267.42159169696	1.21137589025329	0.147005188569166	8.24036145964557	1.71691166132266e-16	1.22805055470178e-14
VGF	4033.03830533336	1.06940871641952	0.130045826668936	8.22332206893467	1.97942345559814e-16	1.40509074082989e-14
RNU5E-4P	687.543013935947	1.79016028927855	0.218199330125684	8.20424282809395	2.32048667497111e-16	1.6348090334195e-14
ACTG1	2868.11549941888	1.12882048319029	0.138820564896043	8.13150763386979	4.23983820947137e-16	2.94276177946272e-14
FN1	763.94434732334	1.69091526043381	0.209043194152055	8.08883191482357	6.02396338005492e-16	4.15033359346431e-14
CAD	2036.1965132308	1.23973447963255	0.153860696030874	8.05751248768425	7.78626410519681e-16	5.32534997559811e-14
SNORA5A	477.417079723047	2.14675369264249	0.266579454622733	8.05296002904876	8.08153025745421e-16	5.48724192118449e-14
P4HB	2128.65208833873	1.19283031026922	0.149445396975784	7.98171328396623	1.44315943831067e-15	9.72834815609422e-14
